control_id;domain;title;status;version;control_type;default_applicability
AIGMS-SUP-005;SUP;Utilisation des données par le fournisseur;draft;0.1;baseline;conditional
AIGMS-SUP-006;SUP;SLA et engagements de service;draft;0.1;baseline;conditional
AIGMS-SUP-007;SUP;Assurance de sécurité fournisseur;draft;0.1;baseline;conditional
AIGMS-SUP-008;SUP;Sous-traitants et sous-processeurs;draft;0.1;baseline;conditional
AIGMS-SUP-009;SUP;Risque de dépendance fournisseur;draft;0.1;baseline;conditional
AIGMS-SUP-010;SUP;Stratégie de sortie et réversibilité;draft;0.1;baseline;conditional
AIGMS-HUM-001;HUM;Niveau de supervision humaine;draft;0.1;baseline;conditional
AIGMS-HUM-002;HUM;Validation humaine des décisions;draft;0.1;baseline;conditional
AIGMS-HUM-003;HUM;Compétence du validateur;draft;0.1;baseline;conditional
AIGMS-HUM-004;HUM;Mécanisme d'override;draft;0.1;baseline;conditional
AIGMS-HUM-005;HUM;Escalade humaine;draft;0.1;baseline;conditional
AIGMS-HUM-006;HUM;Information de l'utilisateur;draft;0.1;baseline;conditional
AIGMS-HUM-007;HUM;Formation aux usages IA;draft;0.1;baseline;conditional
AIGMS-HUM-008;HUM;AI Literacy;draft;0.1;baseline;conditional
AIGMS-OPS-001;OPS;Processus de mise en production;draft;0.1;baseline;conditional
AIGMS-OPS-002;OPS;Séparation Dev / Test / Prod;draft;0.1;baseline;conditional
AIGMS-OPS-003;OPS;Versionnement des modèles;draft;0.1;baseline;conditional
AIGMS-OPS-004;OPS;Versionnement des prompts;draft;0.1;baseline;conditional
AIGMS-OPS-005;OPS;Gestion de configuration;draft;0.1;baseline;conditional
AIGMS-OPS-006;OPS;Change Management;draft;0.1;baseline;conditional
AIGMS-OPS-007;OPS;Rollback;draft;0.1;baseline;conditional
AIGMS-OPS-008;OPS;Gestion des dépendances;draft;0.1;baseline;conditional
AIGMS-OPS-009;OPS;Capacity Management;draft;0.1;baseline;conditional
AIGMS-OPS-010;OPS;Disponibilité;draft;0.1;baseline;conditional
AIGMS-OPS-011;OPS;Sauvegarde et restauration;draft;0.1;baseline;conditional
AIGMS-OPS-012;OPS;Décommissionnement;draft;0.1;baseline;conditional
AIGMS-MON-001;MON;KPI IA;draft;0.1;baseline;conditional
AIGMS-MON-002;MON;Qualité des réponses;draft;0.1;baseline;conditional
AIGMS-MON-003;MON;Mesure des hallucinations;draft;0.1;baseline;conditional
AIGMS-MON-004;MON;Détection du drift;draft;0.1;baseline;conditional
AIGMS-MON-005;MON;Latence et performance;draft;0.1;baseline;conditional
AIGMS-MON-006;MON;Suivi des coûts;draft;0.1;baseline;conditional
AIGMS-MON-007;MON;Adoption et usage;draft;0.1;baseline;conditional
AIGMS-MON-008;MON;Revue périodique des performances;draft;0.1;baseline;conditional
AIGMS-INC-001;INC;Définition d'un incident IA;draft;0.1;baseline;conditional
AIGMS-INC-002;INC;Détection des incidents;draft;0.1;baseline;conditional
AIGMS-INC-003;INC;Classification des incidents;draft;0.1;baseline;conditional
AIGMS-INC-004;INC;Escalade;draft;0.1;baseline;conditional
AIGMS-INC-005;INC;Containment;draft;0.1;baseline;conditional
AIGMS-INC-006;INC;Investigation;draft;0.1;baseline;conditional
AIGMS-INC-007;INC;Communication;draft;0.1;baseline;conditional
AIGMS-INC-008;INC;Retour d'expérience et amélioration;draft;0.1;baseline;conditional
AIGMS-CMP-001;CMP;Identification des exigences applicables;draft;0.1;baseline;conditional
AIGMS-CMP-002;CMP;Mapping réglementaire;draft;0.1;baseline;conditional
AIGMS-CMP-003;CMP;Mapping normatif;draft;0.1;baseline;conditional
AIGMS-CMP-004;CMP;Gestion des preuves;draft;0.1;baseline;conditional
AIGMS-CMP-005;CMP;Auto-évaluation;draft;0.1;baseline;conditional
AIGMS-CMP-006;CMP;Audit interne;draft;0.1;baseline;conditional
AIGMS-CMP-007;CMP;Non-conformités;draft;0.1;baseline;conditional
AIGMS-CMP-008;CMP;Préparation à l'audit;draft;0.1;baseline;conditional
